id,name,winrate,matches,avg elims,avg balls,avg wart,score
5125,Fire Moki,50%,52,0.94,0.1,218.04,17640
4919,Moki Pochi Moki,55.77%,52,0.62,0.04,237.78,17615
73,Trippy,34.62%,52,0,4.69,0.04,17600
1444,Zombina,50%,52,2.12,0.12,27.68,17575
4642,Neuty,36.54%,52,0.04,4.48,0.22,17510
5249,One,34.62%,52,0,4.65,0.29,17500
3284,Cammyyy,50%,52,0.81,0.13,231.42,17495
4597,Dr Shroom,50%,52,1.27,1.63,6,17465
8277,Palmer,48.08%,52,0.96,0.1,223.66,17465
4437,Numbskull,46.15%,52,0.58,2.08,95.17,17430
1749,Stone of David,36.54%,52,0,4.5,0.35,17400
2288,MOKIPACK,36.54%,52,0,4.5,0,17400
5960,Its Madam,57.69%,52,0.56,0.15,222.06,17390
6606,Dark Lord Moki,55.77%,52,0.85,0.13,179.1,17340
7303,Straw Barry,61.54%,52,0.75,0.13,167.61,17300
4772,Milky,51.92%,52,1.33,0.46,94.5,17295
5705,Fenrir,48.08%,52,1.13,0.12,179.62,17290
3624,Animo,46.15%,52,0.9,0.08,233.37,17235
3527,69,51.92%,52,0.77,0.15,218.07,17235
7215,Krampy,51.92%,52,0.73,0.04,225.67,17225
964,Shady,53.85%,52,0.98,0.04,175.29,17215
3932,Citrus,44.23%,52,1.04,2.15,15.45,17180
467,Salvador Dali,50%,52,0.94,0.17,195.4,17120
4341,Mushroom Glasses,50%,52,0.83,0.1,217.03,17115
4246,deadlykitten,32.69%,52,0,4.6,0,17050
6602,Miyamoto Musashi,30.77%,52,0,4.71,0.77,17050
2485,SinTank,51.92%,52,0.81,0.15,200.21,16990
4137,Clutch,50%,52,0.62,0.06,242.09,16945
2,Two,46.15%,52,0.92,0.08,217.87,16910
2661,Mokuhadely,28.85%,52,0.06,4.65,0.02,16840
3340,SweetPotato,48.08%,52,0.6,0.54,207.33,16825
316,Maid of Coins,51.92%,52,1.38,0.77,37.83,16805
6536,Rainbow Queen,46.15%,52,0.87,0.08,218.23,16760
962,Mokiwitch,55.77%,52,1.73,0.15,19.19,16750
7608,Sydney,46.15%,52,1.06,1.21,79.02,16730
1071,Lil Tomato,50%,52,0.77,0.13,203.89,16615
8180,Dheu,50%,52,1.98,0.1,12.69,16605
7958,Borealis,26.92%,52,0,4.75,0.01,16550
